GET /api/workouts status 304, 4.900 ms Tue, 16 Jan 2024 12:34:33 GMT
GET /api/workouts status 304, 4.172 ms Tue, 16 Jan 2024 12:34:33 GMT
POST /api/user/authenticate status 200, 4.075 ms Tue, 16 Jan 2024 12:34:34 GMT
GET /api/workouts status 304, 4.841 ms Tue, 16 Jan 2024 12:34:34 GMT
GET /api/workouts status 304, 3.942 ms Tue, 16 Jan 2024 12:34:34 GMT
POST /api/user/authenticate status 200, 3.530 ms Tue, 16 Jan 2024 12:34:36 GMT
GET /api/workouts status 304, 3.992 ms Tue, 16 Jan 2024 12:34:36 GMT
GET /api/workouts status 304, 3.277 ms Tue, 16 Jan 2024 12:34:36 GMT
POST /api/user/authenticate status 200, 4.426 ms Tue, 16 Jan 2024 12:34:37 GMT
POST /api/user/authenticate status 200, 4.686 ms Tue, 16 Jan 2024 12:34:38 GMT
GET /api/workouts status 304, 4.194 ms Tue, 16 Jan 2024 12:34:39 GMT
GET /api/workouts status 304, 4.733 ms Tue, 16 Jan 2024 12:34:39 GMT
POST /api/user/authenticate status 200, 15.741 ms Tue, 16 Jan 2024 12:35:09 GMT
POST /api/user/authenticate status 200, 6.758 ms Tue, 16 Jan 2024 12:37:53 GMT
GET /api/workouts/myworkouts status 304, 7.909 ms Tue, 16 Jan 2024 12:37:53 GMT
GET /api/workouts/myworkouts status 304, 5.795 ms Tue, 16 Jan 2024 12:37:53 GMT
PUT /api/workouts/favorite/65a4d767df173b77257b40e8 status 200, 33.112 ms Tue, 16 Jan 2024 12:43:30 GMT
PUT /api/workouts/unfavorite/65a3b806b8b419eb9fb4bdbc status 200, 10.127 ms Tue, 16 Jan 2024 12:45:42 GMT
PUT /api/workouts/favorite/65a3b806b8b419eb9fb4bdbc status 200, 24.150 ms Tue, 16 Jan 2024 12:45:43 GMT
POST /api/user/authenticate status 200, 25.882 ms Tue, 16 Jan 2024 12:52:17 GMT
POST /api/workouts/myworkouts/create/new status 201, 41.658 ms Tue, 16 Jan 2024 12:52:20 GMT
POST /api/user/authenticate status 200, 7.906 ms Tue, 16 Jan 2024 12:52:21 GMT
GET /api/workouts/myworkouts status 200, 14.632 ms Tue, 16 Jan 2024 12:52:21 GMT
GET /api/workouts/myworkouts status 304, 7.566 ms Tue, 16 Jan 2024 12:52:21 GMT
POST /api/user/authenticate status 200, 23.893 ms Tue, 16 Jan 2024 12:56:06 GMT
POST /api/workouts/myworkouts/create/new status 201, 42.995 ms Tue, 16 Jan 2024 12:56:44 GMT
POST /api/user/authenticate status 200, 8.884 ms Tue, 16 Jan 2024 12:56:44 GMT
GET /api/workouts/myworkouts status 200, 23.838 ms Tue, 16 Jan 2024 12:56:44 GMT
GET /api/workouts/myworkouts status 304, 9.034 ms Tue, 16 Jan 2024 12:56:44 GMT
POST /api/user/authenticate status 200, 22.048 ms Tue, 16 Jan 2024 12:57:34 GMT
POST /api/workouts/myworkouts/create/new status 500, 44.697 ms Tue, 16 Jan 2024 12:57:39 GMT
POST /api/workouts/myworkouts/create/new status 420, 30.297 ms Tue, 16 Jan 2024 12:58:04 GMT
POST /api/user/authenticate status 200, 9.010 ms Tue, 16 Jan 2024 12:58:10 GMT
GET /api/workouts/myworkouts status 200, 15.745 ms Tue, 16 Jan 2024 12:58:10 GMT
GET /api/workouts/myworkouts status 304, 13.910 ms Tue, 16 Jan 2024 12:58:10 GMT
DELETE /api/workouts/myworkouts/65a67d4341b6c8e5910442db status 200, 26.390 ms Tue, 16 Jan 2024 12:58:12 GMT
DELETE /api/workouts/myworkouts/65a67d0c3314bae33013b22e status 200, 11.229 ms Tue, 16 Jan 2024 12:58:14 GMT
DELETE /api/workouts/myworkouts/65a67c04d3a9c8b5b66dfaeb status 200, 29.412 ms Tue, 16 Jan 2024 12:58:15 GMT
POST /api/user/authenticate status 200, 4.678 ms Tue, 16 Jan 2024 12:58:17 GMT
POST /api/workouts/myworkouts/create/new status 201, 30.599 ms Tue, 16 Jan 2024 12:58:23 GMT
POST /api/user/authenticate status 200, 4.932 ms Tue, 16 Jan 2024 12:58:24 GMT
GET /api/workouts/myworkouts status 200, 7.766 ms Tue, 16 Jan 2024 12:58:24 GMT
GET /api/workouts/myworkouts status 304, 8.189 ms Tue, 16 Jan 2024 12:58:24 GMT
POST /api/user/authenticate status 200, 26.165 ms Tue, 16 Jan 2024 13:00:58 GMT
POST /api/workouts/myworkouts/create/new status 500, 48.500 ms Tue, 16 Jan 2024 13:01:06 GMT
POST /api/user/authenticate status 200, 29.711 ms Tue, 16 Jan 2024 13:01:22 GMT
GET /api/workouts/myworkouts status 200, 30.702 ms Tue, 16 Jan 2024 13:01:22 GMT
GET /api/workouts/myworkouts status 304, 12.440 ms Tue, 16 Jan 2024 13:01:22 GMT
DELETE /api/workouts/myworkouts/65a67e1224feed9855db399e status 200, 24.941 ms Tue, 16 Jan 2024 13:01:32 GMT
POST /api/user/authenticate status 200, 4.351 ms Tue, 16 Jan 2024 13:01:34 GMT
POST /api/workouts/myworkouts/create/new status 201, 39.420 ms Tue, 16 Jan 2024 13:01:40 GMT
POST /api/user/authenticate status 200, 6.566 ms Tue, 16 Jan 2024 13:01:41 GMT
GET /api/workouts/myworkouts status 200, 14.574 ms Tue, 16 Jan 2024 13:01:41 GMT
GET /api/workouts/myworkouts status 304, 10.599 ms Tue, 16 Jan 2024 13:01:41 GMT
POST /api/user/authenticate status 200, 4.411 ms Tue, 16 Jan 2024 13:03:14 GMT
POST /api/user/authenticate status 200, 3.399 ms Tue, 16 Jan 2024 13:03:16 GMT
POST /api/user/authenticate status 200, 5.648 ms Tue, 16 Jan 2024 13:04:02 GMT
POST /api/user/authenticate status 200, 4.638 ms Tue, 16 Jan 2024 13:04:04 GMT
GET /api/workouts status 200, 6.258 ms Tue, 16 Jan 2024 13:04:04 GMT
POST /api/user/authenticate status 200, 7.396 ms Tue, 16 Jan 2024 13:04:04 GMT
GET /api/workouts status 304, 8.494 ms Tue, 16 Jan 2024 13:04:04 GMT
GET /api/workouts status 304, 6.467 ms Tue, 16 Jan 2024 13:04:04 GMT
GET /api/workouts status 304, 7.954 ms Tue, 16 Jan 2024 13:04:04 GMT
PUT /api/workouts/favorite/65a67d6f6e5734c19c1577fc status 200, 15.769 ms Tue, 16 Jan 2024 13:06:01 GMT
GET /api/workouts status 200, 6.607 ms Tue, 16 Jan 2024 13:07:39 GMT
POST /api/user/authenticate status 200, 6.766 ms Tue, 16 Jan 2024 13:07:39 GMT
POST /api/user/authenticate status 200, 5.112 ms Tue, 16 Jan 2024 13:07:39 GMT
GET /api/workouts status 304, 4.907 ms Tue, 16 Jan 2024 13:07:39 GMT
GET /api/workouts status 304, 4.789 ms Tue, 16 Jan 2024 13:07:39 GMT
GET /api/workouts status 304, 5.034 ms Tue, 16 Jan 2024 13:07:39 GMT
PUT /api/workouts/favorite/65a67e3405d0ecf00a52979c status 200, 14.214 ms Tue, 16 Jan 2024 13:07:44 GMT
POST /api/user/authenticate status 200, 4.678 ms Tue, 16 Jan 2024 13:13:09 GMT
GET /api/workouts/myworkouts status 200, 8.631 ms Tue, 16 Jan 2024 13:13:09 GMT
GET /api/workouts/myworkouts status 304, 10.070 ms Tue, 16 Jan 2024 13:13:09 GMT
